,timestamp,counter,device_id,distance,rssi,snr,sf,frequency,airtime,energy,length,temperature,rh,bp,pm2_5,pm10,log_distance
244197,2021-11-04,66749,EN1,2140.0,-73,0.2,9,905300000,0.267264,1.369,208,20.5,80.0,849.5,9.0,10.0,3.330413773349191
251493,2021-11-05,69888,EN1,2140.0,-73,5.2,8,904300000,0.287232,1.383,624,23.9,62.4,851.7,26.0,28.0,3.330413773349191
264672,2021-11-06,76321,EN1,2140.0,-72,8.5,8,903900000,0.338432,1.401,808,31.7,35.0,849.3,82.0,84.0,3.330413773349191
277490,2021-11-07,81316,EN1,2140.0,-73,10.0,9,904900000,0.246784,1.368,144,23.8,67.3,852.4,9.0,10.0,3.330413773349191
295046,2021-11-08,87795,EN1,2140.0,-71,10.0,9,904100000,0.205824,1.441,72,27.7,51.0,849.4,37.0,39.0,3.330413773349191
302398,2021-11-09,90571,EN1,2140.0,-69,6.2,7,903900000,0.327936,1.385,1560,18.0,93.7,851.2,0.0,1.0,3.330413773349191
319927,2021-11-10,98577,EN1,2140.0,-68,6.8,10,904500000,0.370688,1.453,72,27.0,49.3,850.8,19.0,20.0,3.330413773349191
329424,2021-11-11,102095,EN1,2140.0,-71,8.0,8,905300000,0.225792,1.318,440,18.1,90.8,850.5,0.0,1.0,3.330413773349191
345977,2021-11-12,110004,EN1,2140.0,-71,6.2,10,904300000,0.370688,1.441,80,26.5,47.4,850.9,4.0,5.0,3.330413773349191
354746,2021-11-13,113201,EN1,2140.0,-67,8.0,7,904900000,0.194816,1.314,816,20.3,82.2,849.7,43.0,45.0,3.330413773349191
378350,2021-11-14,121753,EN1,2140.0,-71,9.0,8,904500000,0.338432,1.388,808,25.5,53.6,848.4,7.0,8.0,3.330413773349191
385969,2021-11-15,124582,EN1,2140.0,-69,9.0,8,904700000,0.164352,1.307,256,19.8,90.6,849.5,11.0,12.0,3.330413773349191
396103,2021-11-16,131039,EN1,2140.0,-67,8.8,8,905100000,0.225792,1.326,440,18.0,93.3,848.3,3.0,4.0,3.330413773349191
412190,2021-11-17,140302,EN1,2140.0,-71,8.2,8,904100000,0.164352,1.334,256,21.8,76.4,848.5,38.0,40.0,3.330413773349191
420769,2021-11-18,143485,EN1,2140.0,-69,9.0,10,904900000,0.370688,1.441,80,23.5,59.9,851.6,20.0,21.0,3.330413773349191
436783,2021-11-19,149255,EN1,2140.0,-71,6.0,8,904300000,0.225792,1.348,440,23.9,52.3,851.9,6.0,7.0,3.330413773349191
450653,2021-11-20,154249,EN1,2140.0,-71,7.0,8,903900000,0.338432,1.379,808,18.8,90.4,849.7,11.0,12.0,3.330413773349191
474775,2021-11-21,163424,EN1,2140.0,-73,7.2,9,903900000,0.390144,1.412,424,20.1,90.3,850.7,12.0,13.0,3.330413773349191
490075,2021-11-22,168864,EN1,2140.0,-73,7.8,8,905100000,0.287232,1.365,624,20.0,84.8,850.2,60.0,62.0,3.330413773349191
504270,2021-11-23,174175,EN1,2140.0,-77,5.8,9,904300000,0.349184,1.392,352,19.4,90.5,849.6,1.0,2.0,3.330413773349191
518156,2021-11-24,179540,EN1,2140.0,-71,1.8,7,904300000,0.399616,1.402,1928,21.5,79.2,848.6,19.0,20.0,3.330413773349191
531961,2021-11-25,184553,EN1,2140.0,-73,4.8,7,905300000,0.194816,1.312,816,19.3,94.4,848.3,0.0,1.0,3.330413773349191
545469,2021-11-26,189609,EN1,2140.0,-71,6.8,10,905100000,0.370688,1.438,72,24.5,61.0,849.4,75.0,77.0,3.330413773349191
